College Code,College Name,District,Branch Code,Branch Name,OC,MBC
5536,"Mangayarkarasi College of Engineering, First Street, Mangayarkarasi Nagar, Paravai, Madurai District 625402",Madurai,EC,Electronics and Communication Engineering,88906,110066
5537,"Jainee College of Engineering and Technology, Dindigul-Theni Main Road (NearVakkampatti), Dindigul District 624303",Dindigul,CS,Computer Science and Engineering,999999999999,999999999999
5537,"Jainee College of Engineering and Technology, Dindigul-Theni Main Road (NearVakkampatti), Dindigul District 624303",Dindigul,EC,Electronics and Communication Engineering,999999999999,999999999999
5703,"Christian College of Engineering and Technology, Oddanchatram, Dindigul District 624619",Dindigul,CS,Computer Science and Engineering,91647,110221
5703,"Christian College of Engineering and Technology, Oddanchatram, Dindigul District 624619",Dindigul,IT,Information Technology,83325,109791
5720,"Sri Subramanya College of Engineering and Technology, Sukkamanaickanpatti, Palani,Dindigul District 624615",Dindigul,EC,Electronics and Communication Engineering,999999999999,999999999999
5865,"Nadar Saraswathi College of Engineering and Technology, Vadupudupatti, Annanji Post, Theni District 625531",Theni,EC,Electronics and Communication Engineering,63477,110030
5904,"K L N College of Engineering, Pottapalayam, Sivagangai District 630611",Sivagangai,AD,Artificial Intelligence and Data Science,999999999999,999999999999
5911,"P T R College of Engineering and Technology, Austinpatty Post, Madurai District625008",Madurai,EC,Electronics and Communication Engineering,999999999999,999999999999
5919,"St. Michael College of Engineering and Technology, Kalayarkoil, Sivagangai District 630551",Sivagangai,EC,Electronics and Communication Engineering,109917,
5921,"Syed Ammal Engineering College, Achunthanvayal Post, Ramanathapuram District623502",Ramanathapuram,AD,Artificial Intelligence and Data Science,999999999999,999999999999
5921,"Syed Ammal Engineering College, Achunthanvayal Post, Ramanathapuram District623502",Ramanathapuram,CB,Computer Science and Business System,999999999999,999999999999
5930,"SBM College of Engineering and Technology, Thamaraipady, T N Paraipatti Pirivu, Dindigul District 624005",Dindigul,EC,Electronics and Communication Engineering,110055,
5990,"Latha Mathavan Engineering College, Kidaripatti Post, Alagarkoil (Via), Melur Taluk, Madurai District 625301",Madurai,EC,Electronics and Communication Engineering,110545,
