College Code,College Name,District,Branch Code,Branch Name,Cutoff OC,Cutoff MBC,Rank OC,Rank MBC
1450,"Loyola ICAM College of Engineering and Technology, Loyola College Campus, Nungambakkam, Chennai 600034",Chennai,CS,COMPUTER SCIENCE AND ENGINEERING,191,187.5,6788,10945
1450,"Loyola ICAM College of Engineering and Technology, Loyola College Campus, Nungambakkam, Chennai 600034",Chennai,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,188.64,181,9568,19114
1450,"Loyola ICAM College of Engineering and Technology, Loyola College Campus, Nungambakkam, Chennai 600034",Chennai,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,181,164.5,19053,42753
1450,"Loyola ICAM College of Engineering and Technology, Loyola College Campus, Nungambakkam, Chennai 600034",Chennai,IT,INFORMATION TECHNOLOGY,188,185,10363,14120
1452,"PERI Institute of Technology, Mannivakkam, West Tambaram, Chennai 600048",Chennai,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,144,108,73370,126770
1452,"PERI Institute of Technology, Mannivakkam, West Tambaram, Chennai 600048",Chennai,CS,COMPUTER SCIENCE AND ENGINEERING,142,116,76480,115564
1452,"PERI Institute of Technology, Mannivakkam, West Tambaram, Chennai 600048",Chennai,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,121,116,108914,115777
1452,"PERI Institute of Technology, Mannivakkam, West Tambaram, Chennai 600048",Chennai,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,84.5,83.5,152083,153014
1501,"Adhiparasakthi College of Engineering, Kalavai, Ranipet District 632506",Ranipet,CS,COMPUTER SCIENCE AND ENGINEERING,135,123.5,87372,105104
1501,"Adhiparasakthi College of Engineering, Kalavai, Ranipet District 632506",Ranipet,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,118,105,112862,130499
1501,"Adhiparasakthi College of Engineering, Kalavai, Ranipet District 632506",Ranipet,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,82.5,,153852,
1501,"Adhiparasakthi College of Engineering, Kalavai, Ranipet District 632506",Ranipet,IT,INFORMATION TECHNOLOGY,141,111.5,77917,122027
1503,"Arulmigu  Meenakshi Amman College of Engineering, Vadamavandal,Thiruvannamalai District 604410",Thiruvannamalai,CS,COMPUTER SCIENCE AND ENGINEERING,83,,153317,
1503,"Arulmigu  Meenakshi Amman College of Engineering, Vadamavandal,Thiruvannamalai District 604410",Thiruvannamalai,IT,INFORMATION TECHNOLOGY,90,,147389,
